1001 nátt
Aldan
80ini
Eros
Fagra blóma
Eg siti so eina
Sildavalsurin
"Áh, kundi á tíðarhavi"
Føroyar
Villar víddir
Rasmus
Eitt sunnukvøld í plantasjuni
Lívsmynd
Vandringsmenn synger
"Alt, hann átti á fold"
10 indianarabørn
Eins og áarstreymur rennur
Kom og dansa
Tað er leygarkvøld
Í góðum veðri hann dyrgdi
Sjeikurin
Átjan
Sára
Á ferð til Dreymaland
Alt Tú Ert Fyri Meg
80ini
Cockles and mussels
Karin (Frændur)
Á um eg kunde
Upp á tá
Á mønu hjalsins stari
"Góða Mamma, eg vil sova (nr 201 í ssk)"
Mítt land
Dukka mín er blá
Vágagellan
Ljóðmynd
Kalli katt
Cotton fields
Niklas hjá Pena
Á bátadekki
Vestan fyri Mykines
Leygarkvøld í Havn
Fimtan ár
Karin
Annan sang
Dýrd á vík og vág
Eg minnist úr gomlum søgum
Nánd
Válandi heim
Hundurin brúni
Hvítar flykrur
Meg minnist eina mynd
Sangur til frælsi
Så længe jeg lever
Tað er gott at elska
Uttanumtos
Ró
Dukkan Fía
Eg gleðist so hvørt jólakvøld
Súrligar nætur í Keypmannahavn
Annie's Song
Tú Ert So Deilig
Frælsisvónin
Eg eri jólamaðurin
Tá kvøldið kemur
Morgun
Gomul minnir
Elisabet og Elinborg
Vilt tú meg elska
Mín skattur
The wild rover
Heimkoman
Eg sjólívið valdi
Besta bók
Um eg kundi kvøðið
Gleðilig jól
Sára mín
Sóljugentan
Sektus og Sekterius
Ein firvaldur
Einki er sum summarkvøld við strendur
Tíðin rennur sum streymur í á
Lítli fuglur
Gubbi og eg
Enok
Eingin er sum tú
So leingi eg livi
Afturhvarv
Eitt dýpi av dýrari tíð
Mín dingeling
Hvør skuldi gamlar gøtur gloymt
Lívið er okkara gáta
Nú birtast túsund jólaljós
Í Kána eitt kvøldið
Bad moon rising
Tú
"Jesus, hitt einasta (nr. 73)"
"Mær leingist, mær leingist"
Eg havi eina hond
Stórhvalagildið
Føgur er foldin
Tey dansa eins og skuggar
Afrodite
Bara tú riggar
Babba
Eg eri so spent til jóla
Jutlandia
Gakk tú tryggur
Bara tú
Bye bye love
"Á, tann deiliga Havn"
Hví man tað vera so hugnaligt
Nú hvítna tindar fjøllum á
Eru vit til
Vár við lýggjum vindi
Drykkjuvísa
Elska meg nú
Hvar eru vit fødd
Bert ein dag (Nr. 491)
Detroit City
Barnalyndi
Torvatrøllið
Til allar vinir
Tú alfagra land mítt
Gyklarin Pokus Pól
Blowin in the Wind
Á Boðanesi
Føroyingar
Hvalvík og Streymnes
Gakk tú tryggur (Nr. 535)
Amerikakvæðið
Mamma mín
Dukka mín
"Á, um vit eru"
So vakrar moyggjar
"Føroyingar, sum her nú koma saman"
Í dans
Djúp og breið
"Vágsbygd, mín heimbygd"
Hulduríma
Eg veit eitt spógvareiður
Gildið
Barnagleði
Vit fáa tevatn og breyð
Eitt barn er føtt í Betlehem
Eitt fjós og ein krubba
Í skúri
Bimm bamm bussa
Eg elski hitt gamla
Vakra Helen
Vem kan segla
Í dreymalandi
Hvørvisjónin
Nú dagurin at enda er
"Nærri, mín Gud til tín"
Mær dámar bjór
I Walk the Line
Alment starv
Vanja
Ein stjørna lýsti á nátt
Alive
"Vilt tú elska meg, tá stundir líða"
Heimstaðið
Lítli skattur
Mær leingist at fevna teg grønkandi vár
Hví
Skiparin lítli
